"ID";"CPA2008";"Perioden";"Prijsindex_1";"Kwartaalmutaties_2";"Jaarmutaties_3"
"8507";"A042111";"2008KW02";"   102.9";"    -0.7";"    -2.0"
"8508";"A042111";"2008KW03";"   105.0";"     2.0";"    -2.6"
"8509";"A042111";"2008KW04";"   105.4";"     0.3";"     1.7"
"8510";"A042111";"2008JJ00";"   104.2";"";"    -0.2"
"8511";"A042111";"2009KW01";"   103.9";"    -1.4";"     0.2"
"8512";"A042111";"2009KW02";"   106.4";"     2.4";"     3.3"
"8513";"A042111";"2009KW03";"   102.7";"    -3.4";"    -2.2"
"8514";"A042111";"2009KW04";"   103.0";"     0.3";"    -2.2"
"8515";"A042111";"2009JJ00";"   104.0";"";"    -0.2"
"8516";"A042111";"2010KW01";"   103.2";"     0.2";"    -0.7"
"8517";"A042111";"2010KW02";"   101.9";"    -1.3";"    -4.2"
"8518";"A042111";"2010KW03";"   101.5";"    -0.4";"    -1.2"
"8519";"A042111";"2010KW04";"   105.6";"     4.1";"     2.5"
"8520";"A042111";"2010JJ00";"   103.0";"";"    -0.9"
"8521";"A042111";"2011KW01";"   105.5";"    -0.1";"     2.2"
"8522";"A042111";"2011KW02";"   102.5";"    -2.8";"     0.6"
"8523";"A042111";"2011KW03";"   103.2";"     0.6";"     1.7"
"8524";"A042111";"2011KW04";"   101.1";"    -2.0";"    -4.2"
"8525";"A042111";"2011JJ00";"   103.1";"";"     0.0"
"8526";"A042111";"2012KW01";"   103.9";"     2.8";"    -1.5"
"8527";"A042111";"2012KW02";"   102.1";"    -1.7";"    -0.4"
"8528";"A042111";"2012KW03";"   101.2";"    -1.0";"    -2.0"
"8529";"A042111";"2012KW04";"   101.5";"     0.3";"     0.4"
"8530";"A042111";"2012JJ00";"   102.2";"";"    -0.9"
"8531";"A042111";"2013KW01";"   103.3";"     1.8";"    -0.6"
"8532";"A042111";"2013KW02";"   101.7";"    -1.6";"    -0.5"
"8533";"A042111";"2013KW03";"    99.5";"    -2.1";"    -1.6"
"8534";"A042111";"2013KW04";"   100.5";"     1.0";"    -1.0"
"8535";"A042111";"2013JJ00";"   101.2";"";"    -0.9"
"8536";"A042111";"2014KW01";"   102.8";"     2.3";"    -0.5"
"8537";"A042111";"2014KW02";"   100.5";"    -2.3";"    -1.2"
"8538";"A042111";"2014KW03";"   100.5";"     0.1";"     1.0"
"8539";"A042111";"2014KW04";"   101.2";"     0.7";"     0.7"
"8540";"A042111";"2014JJ00";"   101.2";"";"     0.0"
"8541";"A042111";"2015KW01";"   101.0";"    -0.2";"    -1.8"
"8542";"A042111";"2015KW02";"    98.6";"    -2.4";"    -1.8"
"8543";"A042111";"2015KW03";"    98.5";"    -0.1";"    -2.0"
"8544";"A042111";"2015KW04";"   101.8";"     3.3";"     0.6"
"8545";"A042111";"2015JJ00";"   100.0";"";"    -1.2"
"8546";"A042111";"2016KW01";"   103.8";"     1.9";"     2.8"
"8547";"A042111";"2016KW02";"   103.5";"    -0.3";"     4.9"
"8548";"A042111";"2016KW03";"    99.8";"    -3.5";"     1.3"
"8549";"A042111";"2016KW04";"   101.5";"     1.7";"    -0.3"
"8550";"A042111";"2016JJ00";"   102.2";"";"     2.2"
"8551";"A042111";"2017KW01";"   100.7";"    -0.8";"    -3.0"
"8552";"A042111";"2017KW02";"   100.9";"     0.1";"    -2.5"
"8553";"A042111";"2017KW03";"   100.7";"    -0.1";"     0.9"
"8554";"A042111";"2017KW04";"   101.5";"     0.7";"     0.0"
"8555";"A042111";"2017JJ00";"   101.0";"";"    -1.2"
"8556";"A042111";"2018KW01";"   103.1";"     1.5";"     2.3"
"8557";"A042111";"2018KW02";"   102.1";"    -0.9";"     1.2"
"8558";"A042111";"2018KW03";"   101.5";"    -0.6";"     0.7"
"8559";"A042111";"2018KW04";"   102.7";"     1.2";"     1.2"
"8560";"A042111";"2018JJ00";"   102.3";"";"     1.4"
"8561";"A042111";"2019KW01";"   105.5";"     2.7";"     2.3"
"8562";"A042111";"2019KW02";"   102.7";"    -2.6";"     0.6"
"8563";"A042111";"2019KW03";"   102.4";"    -0.3";"     0.9"
